City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,27.82,58,75,0.89,US,1690412885
1,waitangi,-43.9535,-176.5597,9.34,89,95,2.68,NZ,1690412885
2,port-aux-francais,-49.35,70.2167,4.84,77,78,18.14,TF,1690412703
3,dunedin,-45.8742,170.5036,8.22,56,84,6.71,NZ,1690412424
4,bilibino,68.0546,166.4372,11.94,67,35,2.09,RU,1690412886
5,rongelap,11.1635,166.8941,28.24,81,100,8.29,MH,1690412886
6,olonkinbyen,70.9221,-8.7187,4.68,89,100,5.55,SJ,1690412887
7,st. john's,47.5649,-52.7093,24.66,50,75,8.23,CA,1690412313
8,albany,42.6001,-73.9662,28.83,69,83,0.2,US,1690412661
9,kill devil hills,36.0307,-75.676,31.1,70,0,6.17,US,1690412887
10,quellon,-43.1167,-73.6167,8.14,93,100,1.03,CL,1690412888
11,kodiak,57.79,-152.4072,14.73,82,100,3.09,US,1690412888
12,pullman,46.7313,-117.1796,27.14,27,5,2.24,US,1690412594
13,blackmans bay,-43.0167,147.3167,9.18,86,100,2.2,AU,1690412888
14,adamstown,-25.066,-130.1015,19.64,65,75,7.65,PN,1690412888
15,nar'yan-mar,67.6713,53.087,14.91,74,54,1.68,RU,1690412366
16,luderitz,-26.6481,15.1594,12.8,71,0,4.01,NA,1690412338
17,bredasdorp,-34.5322,20.0403,9.31,92,51,2.26,ZA,1690412714
18,ghadamis,30.1337,9.5007,35.66,9,0,3.21,LY,1690412460
19,wailua homesteads,22.0669,-159.378,30.44,73,20,6.17,US,1690412889
20,pokrovka,42.3414,78.0056,18.98,51,12,2.53,KG,1690412890
21,san antonio de pale,-1.4014,5.6325,22.8,90,93,4.27,GQ,1690412385
22,bethel,41.3712,-73.414,29.09,69,0,3.13,US,1690412890
23,hermanus,-34.4187,19.2345,12.28,83,9,3.03,ZA,1690412890
24,grytviken,-54.2811,-36.5092,0.11,98,100,4.74,GS,1690412707
25,iqaluit,63.7506,-68.5145,9.85,71,40,1.54,CA,1690412706
26,aquiraz,-3.9014,-38.3911,27.05,86,6,5.38,BR,1690412892
27,thompson,55.7435,-97.8558,16.99,59,100,1.41,CA,1690412892
28,chernyshevskiy,63.0128,112.4714,16.29,71,55,4.2,RU,1690412509
29,sao vicente,-23.9631,-46.3919,29.1,26,31,2.28,BR,1690412893
30,neya,58.2972,43.8681,18.55,98,88,3.97,RU,1690412893
31,minas de marcona,-15.2119,-75.1103,12.87,82,23,6.38,PE,1690412344
32,santiago,-33.4569,-70.6483,15.89,63,75,3.09,CL,1690412607
33,salalah,17.0151,54.0924,24.3,95,100,4.24,OM,1690412380
